Timestamp,Source,Destination,PacketSize,Label
0,10.1.6.1,10.1.5.2,56,Benign
0,10.1.7.1,10.1.5.2,56,Benign
0,10.1.8.1,10.1.5.2,56,Benign
0,10.1.9.1,10.1.5.2,56,Benign
0.001004639,10.1.6.1,10.1.5.2,56,Benign
0.001009278,10.1.7.1,10.1.5.2,56,Benign
0.001013917,10.1.8.1,10.1.5.2,56,Benign
0.001018556,10.1.9.1,10.1.5.2,56,Benign
0.002009278,10.1.5.2,10.1.6.1,56,Benign
0.002013917,10.1.5.2,10.1.7.1,56,Benign
0.002018556,10.1.5.2,10.1.8.1,56,Benign
0.002023195,10.1.5.2,10.1.9.1,56,Benign
0.002027834,10.1.5.2,10.1.10.1,56,Benign
0.002032473,10.1.5.2,10.1.11.1,56,Benign
0.002037112,10.1.5.2,10.1.12.1,56,Benign
0.002041751,10.1.5.2,10.1.13.1,56,Benign
0.00204639,10.1.5.2,10.1.14.1,56,Benign
0.002051029,10.1.5.2,10.1.15.1,56,Benign
0.002055668,10.1.5.2,10.1.16.1,56,Benign
0.002060307,10.1.5.2,10.1.17.1,56,Benign
0.002064946,10.1.5.2,10.1.18.1,56,Benign
0.002069585,10.1.5.2,10.1.19.1,56,Benign
0.002074224,10.1.5.2,10.1.20.1,56,Benign
0.002078863,10.1.5.2,10.1.21.1,56,Benign
0.002083502,10.1.5.2,10.1.22.1,56,Benign
0.002088141,10.1.5.2,10.1.23.1,56,Benign
0.00209278,10.1.5.2,10.1.24.1,56,Benign
0.002097419,10.1.5.2,10.1.25.1,56,Benign
0.003013917,10.1.5.2,10.1.6.1,56,Benign
0.003018556,10.1.5.2,10.1.7.1,56,Benign
0.003023195,10.1.5.2,10.1.8.1,56,Benign
0.003027834,10.1.5.2,10.1.9.1,56,Benign
0.003032473,10.1.5.2,10.1.10.1,56,Benign
0.003037112,10.1.5.2,10.1.11.1,56,Benign
0.003041751,10.1.5.2,10.1.12.1,56,Benign
0.00304639,10.1.5.2,10.1.13.1,56,Benign
0.003051029,10.1.5.2,10.1.14.1,56,Benign
0.003055668,10.1.5.2,10.1.15.1,56,Benign
0.003060307,10.1.5.2,10.1.16.1,56,Benign
0.003064946,10.1.5.2,10.1.17.1,56,Benign
0.003069585,10.1.5.2,10.1.18.1,56,Benign
0.003074224,10.1.5.2,10.1.19.1,56,Benign
0.003078863,10.1.5.2,10.1.20.1,56,Benign
0.003083502,10.1.5.2,10.1.21.1,56,Benign
0.003088141,10.1.5.2,10.1.22.1,56,Benign
0.00309278,10.1.5.2,10.1.23.1,56,Benign
0.003097419,10.1.5.2,10.1.24.1,56,Benign
0.003102058,10.1.5.2,10.1.25.1,56,Benign
0.004018556,10.1.6.1,10.1.5.2,52,Benign
0.004022875,10.1.6.1,10.1.5.2,588,Benign
0.004023195,10.1.7.1,10.1.5.2,52,Benign
0.004027514,10.1.7.1,10.1.5.2,588,Benign
0.004027834,10.1.8.1,10.1.5.2,52,Benign
0.004032153,10.1.8.1,10.1.5.2,588,Benign
0.004032473,10.1.9.1,10.1.5.2,52,Benign
0.004036792,10.1.9.1,10.1.5.2,588,Benign
0.005022875,10.1.6.1,10.1.5.2,52,Benign
0.005027514,10.1.7.1,10.1.5.2,52,Benign
0.005032153,10.1.8.1,10.1.5.2,52,Benign
0.005036792,10.1.9.1,10.1.5.2,52,Benign
0.005073584,10.1.6.1,10.1.5.2,588,Benign
0.005125103,10.1.7.1,10.1.5.2,588,Benign
0.005176622,10.1.8.1,10.1.5.2,588,Benign
0.005228141,10.1.9.1,10.1.5.2,588,Benign
0.006120784,10.1.5.2,10.1.6.1,52,Benign
0.006172303,10.1.5.2,10.1.7.1,52,Benign
0.006223822,10.1.5.2,10.1.8.1,52,Benign
0.006275341,10.1.5.2,10.1.9.1,52,Benign
0.00632686,10.1.5.2,10.1.10.1,52,Benign
0.006378379,10.1.5.2,10.1.11.1,52,Benign
0.006429898,10.1.5.2,10.1.12.1,52,Benign
0.006481417,10.1.5.2,10.1.13.1,52,Benign
0.006532936,10.1.5.2,10.1.14.1,52,Benign
0.006584455,10.1.5.2,10.1.15.1,52,Benign
0.006631655,10.1.5.2,10.1.16.1,52,Benign
0.006678855,10.1.5.2,10.1.17.1,52,Benign
0.006726055,10.1.5.2,10.1.18.1,52,Benign
0.006773255,10.1.5.2,10.1.19.1,52,Benign
0.006820455,10.1.5.2,10.1.20.1,52,Benign
0.006867655,10.1.5.2,10.1.21.1,52,Benign
0.006914855,10.1.5.2,10.1.22.1,52,Benign
0.006962055,10.1.5.2,10.1.23.1,52,Benign
0.007009255,10.1.5.2,10.1.24.1,52,Benign
0.007056455,10.1.5.2,10.1.25.1,52,Benign
0.007125103,10.1.5.2,10.1.6.1,52,Benign
0.007176622,10.1.5.2,10.1.7.1,52,Benign
0.007228141,10.1.5.2,10.1.8.1,52,Benign
0.00727966,10.1.5.2,10.1.9.1,52,Benign
0.007331179,10.1.5.2,10.1.10.1,52,Benign
0.007382698,10.1.5.2,10.1.11.1,52,Benign
0.007434217,10.1.5.2,10.1.12.1,52,Benign
0.007485736,10.1.5.2,10.1.13.1,52,Benign
0.007537255,10.1.5.2,10.1.14.1,52,Benign
0.007588774,10.1.5.2,10.1.15.1,52,Benign
0.007635974,10.1.5.2,10.1.16.1,52,Benign
0.007683174,10.1.5.2,10.1.17.1,52,Benign
0.007730374,10.1.5.2,10.1.18.1,52,Benign
0.007777574,10.1.5.2,10.1.19.1,52,Benign
0.007824774,10.1.5.2,10.1.20.1,52,Benign
0.007871974,10.1.5.2,10.1.21.1,52,Benign
0.007919174,10.1.5.2,10.1.22.1,52,Benign
0.007966374,10.1.5.2,10.1.23.1,52,Benign
0.008,10.1.0.1,10.1.5.2,540,DDoS
0.008,10.1.1.1,10.1.5.2,540,DDoS
0.008,10.1.2.1,10.1.5.2,540,DDoS
0.008,10.1.3.1,10.1.5.2,540,DDoS
0.008,10.1.4.1,10.1.5.2,540,DDoS
0.008013574,10.1.5.2,10.1.24.1,52,Benign
0.008060774,10.1.5.2,10.1.25.1,52,Benign
0.008129422,10.1.6.1,10.1.5.2,588,Benign
0.008176622,10.1.6.1,10.1.5.2,588,Benign
0.008180941,10.1.7.1,10.1.5.2,588,Benign
0.008228141,10.1.7.1,10.1.5.2,588,Benign
0.00823246,10.1.8.1,10.1.5.2,588,Benign
0.00827966,10.1.8.1,10.1.5.2,588,Benign
0.008283979,10.1.9.1,10.1.5.2,588,Benign
0.008331179,10.1.9.1,10.1.5.2,588,Benign
0.009043359,10.1.0.1,10.1.5.2,540,DDoS
0.009086718,10.1.1.1,10.1.5.2,540,DDoS
0.009130077,10.1.2.1,10.1.5.2,540,DDoS
0.009173436,10.1.3.1,10.1.5.2,540,DDoS
0.009216795,10.1.4.1,10.1.5.2,540,DDoS
0.009260154,10.1.6.1,10.1.5.2,588,Benign
0.009307354,10.1.6.1,10.1.5.2,588,Benign
0.009354554,10.1.7.1,10.1.5.2,588,Benign
0.009401754,10.1.7.1,10.1.5.2,588,Benign
0.009448954,10.1.8.1,10.1.5.2,588,Benign
0.009496154,10.1.8.1,10.1.5.2,588,Benign
0.009543354,10.1.9.1,10.1.5.2,588,Benign
0.009590554,10.1.9.1,10.1.5.2,588,Benign
0.010354554,10.1.5.2,10.1.6.1,52,Benign
0.010448954,10.1.5.2,10.1.7.1,52,Benign
0.010543354,10.1.5.2,10.1.8.1,52,Benign
0.010637754,10.1.5.2,10.1.9.1,52,Benign
0.010732154,10.1.5.2,10.1.10.1,52,Benign
0.010826554,10.1.5.2,10.1.11.1,52,Benign
0.010920954,10.1.5.2,10.1.12.1,52,Benign
0.011015354,10.1.5.2,10.1.13.1,52,Benign
0.011109754,10.1.5.2,10.1.14.1,52,Benign
